Challenge Date,IP Address,User Agent,Country,Challenge Type
Thu Apr 10 18:09:55 UTC 2025,68.65.175.47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Tue May 06 21:26:00 UTC 2025,2607:fb90:9e90:320:c9cb:e5f1:336:9f14,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",United States,SSP_BLOCKING_CHALLENGE
Tue May 06 21:26:05 UTC 2025,2607:fb90:9e90:320:c9cb:e5f1:336:9f14,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.31.802",United States,SSP_BLOCKING_CHALLENGE
Tue May 06 21:26:07 UTC 2025,2607:fb90:9e90:320:c9cb:e5f1:336:9f14,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.31.802",United States,LINKEDIN_APP_CHALLENGE
Tue May 06 21:28:22 UTC 2025,2607:fb90:9e90:320:c9cb:e5f1:336:9f14,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",United States,SSP_BLOCKING_CHALLENGE
Sat May 24 16:45:22 UTC 2025,156.228.184.87,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Sat May 24 16:45:22 UTC 2025,156.228.184.87,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Sat May 24 17:21:13 UTC 2025,156.228.125.66,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Sat May 24 17:21:13 UTC 2025,156.228.125.66,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Sat May 24 17:21:17 UTC 2025,156.228.175.136,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
